Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,1871.300049,1926.699951,1864.800049,1926.699951,1926.699951,2294101600
2022-01-04,1941.300049,1978.099976,1925.199951,1963.599976,1963.599976,3089629800
2022-01-05,1965.500000,2006.800049,1954.699951,2005.300049,2005.300049,2388007800
2022-01-06,1993.099976,2021.800049,1977.699951,2007.599976,2007.599976,2926993600
2022-01-07,2020.300049,2036.099976,1994.500000,2033.300049,2033.300049,3497541200
2022-01-10,2049.500000,2071.800049,2045.199951,2045.199951,2045.199951,3135730300
2022-01-11,2060.100098,2068.199951,2018.000000,2046.000000,2046.000000,3872105300
2022-01-12,2070.399902,2074.800049,2055.699951,2064.199951,2064.199951,3254102400
2022-01-13,2057.500000,2087.000000,2054.500000,2070.699951,2070.699951,3395597800
2022-01-14,2071.399902,2081.100098,2049.300049,2072.899902,2072.899902,3212724900
2022-01-17,2088.500000,2103.000000,2083.600098,2085.800049,2085.800049,3852414900
2022-01-18,2082.800049,2086.300049,1979.800049,1979.800049,1979.800049,4150695000
2022-01-19,1978.800049,2044.000000,1959.400024,2042.099976,2042.099976,4919945200
2022-01-20,2056.199951,2065.800049,1984.400024,2014.199951,2014.199951,5447906900
2022-01-21,2008.099976,2021.099976,1986.500000,2011.199951,2011.199951,3146605300
2022-01-24,2004.900024,2013.099976,1910.300049,1910.300049,1910.300049,4236164800
2022-01-25,1927.800049,1953.300049,1880.199951,1945.099976,1945.099976,2649415800
2022-01-26,1951.199951,1975.300049,1946.000000,1951.199951,1951.199951,2140896100
2022-01-27,1920.199951,1997.699951,1913.500000,1997.699951,1997.699951,2538193600
2022-01-28,2006.800049,2019.400024,1976.699951,1983.199951,1983.199951,2827846600
2022-01-31,2004.300049,2009.400024,1992.699951,2003.199951,2003.199951,2308574200
2022-02-01,2014.000000,2034.900024,2008.699951,2015.400024,2015.400024,2297661700
2022-02-02,2028.900024,2032.699951,1994.300049,2002.199951,2002.199951,3063582100
2022-02-03,1995.699951,2013.599976,1949.199951,1957.900024,1957.900024,2542764700
2022-02-04,1969.699951,1974.199951,1937.000000,1943.800049,1943.800049,2068611600
2022-02-07,1943.199951,1997.599976,1908.599976,1997.599976,1997.599976,2758457300
2022-02-08,1998.599976,2019.300049,1982.099976,2007.099976,2007.099976,2394907100
2022-02-09,2022.500000,2046.000000,2017.400024,2042.900024,2042.900024,2515053800
2022-02-10,2048.399902,2054.899902,2029.599976,2038.699951,2038.699951,2510270200
2022-02-11,2023.000000,2052.500000,1992.300049,2051.100098,2051.100098,2477683500
2022-02-14,2025.000000,2026.900024,1971.099976,2001.900024,2001.900024,2989051200
2022-02-15,2008.300049,2054.800049,2006.000000,2038.199951,2038.199951,2593348500
2022-02-16,2049.899902,2057.899902,2036.300049,2041.400024,2041.400024,2123670900
2022-02-17,2049.699951,2059.100098,2010.000000,2010.000000,2010.000000,2582485000
2022-02-18,2025.500000,2032.400024,2004.500000,2032.400024,2032.400024,1759402000
2022-02-21,2050.100098,2060.699951,2015.400024,2038.099976,2038.099976,2272313300
2022-02-22,2007.000000,2032.800049,1979.900024,2017.500000,2017.500000,2679280300
2022-02-23,2034.300049,2043.400024,2016.000000,2016.000000,2016.000000,2272755900
2022-02-24,1953.199951,1953.199951,1826.800049,1851.400024,1851.400024,2428056400
2022-02-25,1883.000000,1965.000000,1866.300049,1952.400024,1952.400024,3298696000
2022-02-28,1920.199951,1957.500000,1912.199951,1946.199951,1946.199951,2813218200
2022-03-01,1969.099976,1994.300049,1946.500000,1969.900024,1969.900024,3185474100
2022-03-02,1974.199951,1999.800049,1961.599976,1986.099976,1986.099976,2514380700
2022-03-03,2009.300049,2047.000000,2009.300049,2023.300049,2023.300049,2607235500
2022-03-04,2013.900024,2024.099976,1990.800049,1990.800049,1990.800049,2904339600
2022-03-07,1983.000000,2011.599976,1963.800049,1997.300049,1997.300049,3121038200
2022-03-08,1987.000000,2032.099976,1986.000000,2011.400024,2011.400024,3045058300
2022-03-09,2036.300049,2055.000000,2031.500000,2042.699951,2042.699951,3150905800
2022-03-10,2054.600098,2068.300049,2027.000000,2042.000000,2042.000000,3284467800
2022-03-11,2045.699951,2067.699951,2042.900024,2053.899902,2053.899902,2929252000
2022-03-14,2066.399902,2092.600098,2066.199951,2088.500000,2088.500000,2697172000
2022-03-15,2087.500000,2101.300049,2077.600098,2079.399902,2079.399902,2858433400
2022-03-16,2092.100098,2098.500000,2078.199951,2088.800049,2088.800049,2386829300
2022-03-17,2104.000000,2136.300049,2104.000000,2133.600098,2133.600098,2751363800
2022-03-18,2141.100098,2148.699951,2132.600098,2144.300049,2144.300049,2219482900
2022-03-21,2160.399902,2176.300049,2152.399902,2175.000000,2175.000000,2394237500
2022-03-22,2151.000000,2188.800049,2146.300049,2188.800049,2188.800049,2615868100
2022-03-23,2195.500000,2203.699951,2170.399902,2183.100098,2183.100098,2995233300
2022-03-24,2187.100098,2199.199951,2171.500000,2176.199951,2176.199951,2710492500
2022-03-25,2179.500000,2195.199951,2173.600098,2175.500000,2175.500000,2113966300
2022-03-28,2180.199951,2192.899902,2170.199951,2172.500000,2172.500000,2834935800
2022-03-29,2181.800049,2220.500000,2181.800049,2206.500000,2206.500000,4036650100
2022-03-30,2212.800049,2233.500000,2212.800049,2230.199951,2230.199951,3579084100
2022-03-31,2236.199951,2245.000000,2220.800049,2233.300049,2233.300049,3140612800
2022-04-01,2238.699951,2255.100098,2230.399902,2251.699951,2251.699951,3586423400
2022-04-04,2264.500000,2311.399902,2264.500000,2311.399902,2311.399902,4602410700
2022-04-05,2317.500000,2343.500000,2303.699951,2326.300049,2326.300049,4698457400
